sample_id,kmeans_cluster,agglomerative_cluster,true_label
NGS247_0001R_RFS28,1,0,DMSO
NGS247_0002R_RFS29,2,1,DMSO
NGS247_0003R_RFS30,2,1,DMSO
NGS247_0004R_RFS31,1,0,DMSO
NGS247_0005R_RFS32,2,1,DMSO
NGS247_0006R_RFS33,2,1,DMSO
NGS247_0007R_RFS34,1,0,DMSO
NGS247_0008R_RFS35,2,1,DMSO
NGS247_0009R_RFS36,2,1,DMSO
NGS247_0010R_RFS37,1,2,Metcamifen
NGS247_0011R_RFS38,0,2,Metcamifen
NGS247_0012R_RFS39,0,2,Metcamifen
NGS247_0013R_RFS40,0,2,Metcamifen
NGS247_0014R_RFS41,0,2,Metcamifen
NGS247_0015R_RFS42,0,2,Metcamifen
NGS247_0016R_RFS43,2,1,Metcamifen
NGS247_0017R_RFS44,0,0,Metcamifen
NGS247_0018R_RFS45,1,0,Metcamifen
NGS247_0019R_RFS46,1,1,Cyprosulfamide
NGS247_0020R_RFS47,2,1,Cyprosulfamide
NGS247_0021R_RFS48,2,1,Cyprosulfamide
NGS247_0022R_RFS49,1,0,Cyprosulfamide
NGS247_0023R_RFS50,1,1,Cyprosulfamide
NGS247_0024R_RFS51,1,0,Cyprosulfamide
NGS247_0025R_RFS52,1,0,Cyprosulfamide
NGS247_0026R_RFS53,1,0,Cyprosulfamide
NGS247_0027R_RFS54,1,0,Cyprosulfamide
